0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
@RealJamieKay Yes the hottest pepper from St Asaph ( Dragons fire I believe it’s called) has been grown for that pu… https://t.co/I2e07KjVVt,  yes the hottest pepper from st asaph ( dragons fire i believe it’s called) has been grown for that pu…  ,0.0,0.0,positive,0.114,0.758,0.128,0.0772,106,20
"RT @JannateKashmir8: #ACTIVITY : ORG VOLLEYBALL MATCH &amp; INTERACTION WITH YOUTH.
#LOC :  PDG COB.
#Projection of positive image of Indian Ar…"," #activity : org volleyball match &amp; interaction with youth.
#loc :  pdg cob.
#projection of positive image of indian ar…",0.22727272727272727,0.5454545454545454,positive,0.0,0.825,0.175,0.5574,124,20
@majorgauravarya Gaurav: Indian army is giving the best ever in history to Indian soldiers……………………….… https://t.co/2vYaAZLt1z,  gaurav: indian army is giving the best ever in history to indian soldiers……………………….…  ,1.0,0.3,positive,0.0,0.625,0.375,0.765,88,13
@muzamilmattoo11 @lookaround81 See how these Indian soldiers are shivering from Mujahideen. About 50000 Indian here… https://t.co/w2bvVrXMlm,    see how these indian soldiers are shivering from mujahideen. about 50000 indian here…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,91,13
@Z0TR0ID @AGENTCHAPPAN @Stylerugsays ??? Aap teeno ko dekhker dar jayenge chinese n pakistani army. Indian Sher aa gaye,      ??? aap teeno ko dekhker dar jayenge chinese n pakistani army. indian sher aa gaye,0.0,0.0,neutral,0.0,1.0,0.0,0.0,88,15
The Carlisle Indian Industrial School was the flagship boarding “school” in the US from 1879-1918. The school's pro… https://t.co/MtMX2ZjFux,the carlisle indian industrial school was the flagship boarding “school” in the us from 1879-1918. the school's pro…  ,0.0,0.0,positive,0.0,0.924,0.076,0.1027,118,18
"@Thakur312Manish Makkar kherati pasta pattarkar ,farzi news chap diya indian army parliament ko capture karne aarah… https://t.co/zXuwtu9XYF","  makkar kherati pasta pattarkar ,farzi news chap diya indian army parliament ko capture karne aarah…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,103,15
RT @INCIndia: We pay our tributes to Rash Behari Bose for his key role in our freedom struggle against British Raj. He established the 'Ind…, we pay our tributes to rash behari bose for his key role in our freedom struggle against british raj. he established the 'ind…,0.0,0.5,negative,0.216,0.642,0.142,-0.0516,127,23
"RT @RJ_unnikuttan: ??????? ?????????? ?????????????????? ???????????? ?????????? ????? ????????????? ??. ???????? ??????.

????????? ????…"," ??????? ?????????? ?????????????????? ???????????? ?????????? ????? ????????????? ??. ???????? ??????.

????????? ????…",0.0,0.0,neutral,0.0,1.0,0.0,0.0,120,12
RT @tmmenon: @nrajabpcla @raj2jas @neerangautam @SoniaGurnani19 @keeranl @JaganNKaushik @SortedEagle @KSMANN @GenPanwar @Richa_Anand73 @nra…,                    _anand73  …,0.0,0.0,neutral,0.0,1.0,0.0,0.0,31,2
"The way army was summoning Ed sheeran a few days back after that Indian interview, and here we have him, permission to dance’s songwriter ?","the way army was summoning ed sheeran a few days back after that indian interview, and here we have him, permission to dance’s songwriter ?",-0.1,0.05,neutral,0.0,1.0,0.0,0.0,139,25
RT @RobTheRich0001: 1000s of Indian farmworkers fight back this weekend as they hit the streets of New Delhi. They’ve been camped out now f…, 1000s of indian farmworkers fight back this weekend as they hit the streets of new delhi. they’ve been camped out now f…,0.06818181818181818,0.22727272727272727,negative,0.11,0.89,0.0,-0.3818,121,22
@BrigitteFisette @Grace1818Grace These photos are of Yoga Day. When the Indian Army which patrols the border of its… https://t.co/h5n1BhpH4V,    these photos are of yoga day. when the indian army which patrols the border of its…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,89,16
"Our grandfathers cleared punjab of these vermins in 1947, took head on 7 divisions of indian army in 1984 (US had o… https://t.co/FlHULAoAkx","our grandfathers cleared punjab of these vermins in 1947, took head on 7 divisions of indian army in 1984 (us had o…  ",0.0,0.0,positive,0.0,0.935,0.065,0.1027,118,22
@FlashBangZap They look awesome! Didn’t even knew the company still exists. I saw an ancient Indian army of Vendel… https://t.co/3TVk5O6Ub5,  they look awesome! didn’t even knew the company still exists. i saw an ancient indian army of vendel…  ,1.0,1.0,positive,0.0,0.785,0.215,0.6588,105,18
@PhuckTuk @KumarVidhyasag2 @Saarthi34980713 @MeghUpdates I doubt tumare body mai khoon hai ya pani every indian has… https://t.co/gxshMXJOtt,        i doubt tumare body mai khoon hai ya pani every indian has…  ,0.0,0.0,negative,0.2,0.8,0.0,-0.3612,69,12
"RT @JeevMilkhaSingh: Somehow, I don't remember much of Dad's funeral procession, but one sight I will never forget. A military van coming t…"," somehow, i don't remember much of dad's funeral procession, but one sight i will never forget. a military van coming t…",0.05,0.15000000000000002,positive,0.089,0.81,0.101,0.0642,120,21
"RT @amarprasadreddy: Had an excellent discussion with my good friend  Lt. Gen. RK Anand Ji, Ex-Director General, Indian Army at his residen…"," had an excellent discussion with my good friend  lt. gen. rk anand ji, ex-director general, indian army at his residen…",0.5833333333333334,0.7000000000000001,positive,0.0,0.634,0.366,0.8689,120,20
@Aishwar73470497 indian army call now very dengerus max pro ghar tera pakisthan....,  indian army call now very dengerus max pro ghar tera pakisthan....,0.2,0.3,neutral,0.0,1.0,0.0,0.0,68,11
@HumanAmin @TahaSSiddiqui @murtazasolangi It is not to please China.Pakistan wants to develop Balochistan .The Indi… https://t.co/1b4sXVNff6,      it is not to please china.pakistan wants to develop balochistan .the indi…  ,0.2,0.1,negative,0.151,0.849,0.0,-0.2411,82,12
@Grace1818Grace These photos are of Yoga Day. When the Indian Army which patrols the border of its country riding o… https://t.co/NBcv3tsgde,  these photos are of yoga day. when the indian army which patrols the border of its country riding o…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,104,19
RT @Mudpalli: @LestWeForgetIN @adgpi @HQ_IDS_India @DefenceMinIndia @rajnathsingh @KSBSectt @salute2soldier @prodefkohima @Spearcorps @Gajr…,      _ids_india              …,0.0,0.0,neutral,0.0,1.0,0.0,0.0,31,2
"Hindu Taliban Nazi Army massacre 10 innocent civilian youth in illegally Indian occupied Kashmir!

IoK turning into… https://t.co/0DVnr5np8m","hindu taliban nazi army massacre 10 innocent civilian youth in illegally indian occupied kashmir!

iok turning into…  ",-0.0625,0.6,positive,0.0,0.856,0.144,0.4003,118,17
RT @samar11: @LestWeForgetIN @Leopard212 @adgpi @HQ_IDS_India @DefenceMinIndia @rajnathsingh @KSBSectt @salute2soldier @prodefkohima @Spear…,        _ids_india            …,0.0,0.0,neutral,0.0,1.0,0.0,0.0,31,2
"RT @Tiny_Dhillon: #Kashmir ???

Indian Army Commissioning the 100 feet high Indian Flag ?? in the picturesque Gulmarg. 

This sacred Tricol…"," #kashmir ???

indian army commissioning the 100 feet high indian flag ?? in the picturesque gulmarg. 

this sacred tricol…",0.16,0.5399999999999999,positive,0.0,0.874,0.126,0.3818,123,19
"RT @nayabharathoon: ""No guts, no glory."" 
.
.
Proud on My Great Indian Army ??
Jai Hind ?? https://t.co/F5DbrsX8vY"," ""no guts, no glory."" 
.
.
proud on my great indian army ??
jai hind ??  ",0.8,0.875,positive,0.204,0.463,0.333,0.5859,73,16
indian army is good,indian army is good,0.7,0.6000000000000001,positive,0.0,0.508,0.492,0.4404,19,4
RT @shubhranshu_rai: Indian army? #parasf #nsg https://t.co/IgEn9mjHb5, indian army? #parasf #nsg  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,28,4
https://t.co/tX8PMmA5xu, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0,1,0
"RT @MajorPoonia: That’s The Indian Army ???
Anti-terror Operation Commander appealing one last time to terrorists to surrender and return t…"," that’s the indian army ???
anti-terror operation commander appealing one last time to terrorists to surrender and return t…",0.25,0.2833333333333333,negative,0.186,0.814,0.0,-0.6249,124,19
RT @megirish2001: @Thapar77Thapar Leading from the front... in the finest traditions of the Indian army ... following the Chetwode motto...,   leading from the front... in the finest traditions of the indian army ... following the chetwode motto...,0.0,0.1,neutral,0.0,1.0,0.0,0.0,108,17
Our god Indian Army ??? https://t.co/QIrgmdAYbC,our god indian army ???  ,0.0,0.0,positive,0.0,0.656,0.344,0.2732,25,5
RT @TheZaiduLeaks: Yoga was never a Indian invention infact it was first performed &amp; invented by our very own Pak Army General AAK Niazi in…, yoga was never a indian invention infact it was first performed &amp; invented by our very own pak army general aak niazi in…,0.36000000000000004,0.611111111111111,neutral,0.0,1.0,0.0,0.0,126,23
@ShayanK81501760 @HesyRock @SpydEr19999 @shaziyaaM @FakharZamanLive Chinese army ki to khud phati hui hai....tabhi… https://t.co/yRv6N0UAxP,          chinese army ki to khud phati hui hai....tabhi…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,59,8
@MEAIndia @DrSJaishankar @PMOIndia @narendramodi If u can't defend our national flag then stop asking my vote on be… https://t.co/Lf7IqDIWyY,        if u can't defend our national flag then stop asking my vote on be…  ,0.0,0.0,negative,0.155,0.845,0.0,-0.296,77,14
"RT @shahrk13: ?SRK congratulate Indian army for surgical strike on pakistan.

https://t.co/LR6JoqxJRZ

?Few years back around 200-400 menta…"," ?srk congratulate indian army for surgical strike on pakistan.

 

?few years back around 200-400 menta…",0.0,0.0,positive,0.085,0.734,0.181,0.4019,105,15
"@_Lisa_Supremacy @nypost Yes I also wish the same.

I hope one day Indian army sa*ks london, me**a as a payback

Re… https://t.co/Ucd4ak5oQO","@_lisa_supremacy   yes i also wish the same.

i hope one day indian army sa*ks london, me**a as a payback

re…  ",0.0,0.125,positive,0.0,0.628,0.372,0.8074,112,20
@globaltimesnews Chinese soldiers are neither eligible nor useful to confront the Indian army but for the sake of g… https://t.co/O483H7E2wt,  chinese soldiers are neither eligible nor useful to confront the indian army but for the sake of g…  ,0.15,0.0,positive,0.0,0.852,0.148,0.1972,103,18
@DRDO_India A great salute to indian Army and DRDO., _india a great salute to indian army and drdo.,0.8,0.75,positive,0.0,0.631,0.369,0.6249,47,9
The cheap minded central government doesn't mind that National Defence Academy (NDA) and Naval Academy Examination… https://t.co/qtGHz8BqmM,the cheap minded central government doesn't mind that national defence academy (nda) and naval academy examination…  ,0.2,0.475,positive,0.0,0.915,0.085,0.1027,117,16
"RT @skt_Bharatwasi: Bjp meeda hatred tho Hindu religion ni , Indian culture ni, Nationalistic views ni , Army ni troll chestaru opposition…"," bjp meeda hatred tho hindu religion ni , indian culture ni, nationalistic views ni , army ni troll chestaru opposition…",0.0,0.0,negative,0.198,0.802,0.0,-0.6369,120,20
RT @TV9Bharatvarsh: ????? ?? ???????? ?????? ?? ??? #DroneAttack ?? ??? #CSDBipinRawat ?? ??? ?? ?? ???? ?? ?? ?????? ??? ????? ?? ??? ???…, ????? ?? ???????? ?????? ?? ??? #droneattack ?? ??? #csdbipinrawat ?? ??? ?? ?? ???? ?? ?? ?????? ??? ????? ?? ??? ???…,0.0,0.0,neutral,0.0,1.0,0.0,0.0,120,23
"RT @RiaRevealed: Indian army is recruiting..

https://t.co/viEdyZbayi"," indian army is recruiting..

 ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,31,4
"Bjp meeda hatred tho Hindu religion ni , Indian culture ni, Nationalistic views ni , Army ni troll chestaru opposit… https://t.co/DZ9PHLo1J2","bjp meeda hatred tho hindu religion ni , indian culture ni, nationalistic views ni , army ni troll chestaru opposit…  ",0.0,0.0,negative,0.198,0.802,0.0,-0.6369,118,20
"Indian Army still is in the 20th century. They are not ready for battle yet.
#India 
#Pakistan https://t.co/dYKIizuUFC","indian army still is in the 20th century. they are not ready for battle yet.
#india 
#pakistan  ",-0.05,0.25,positive,0.109,0.777,0.113,0.0191,96,17
"Captain Vijyant Thapar 
(1976– June 29, 1999) was an officer of the Indian Army and belonged to the  Rajputana Rifl… https://t.co/xdRYAx6d6r","captain vijyant thapar 
(1976– june 29, 1999) was an officer of the indian army and belonged to the  rajputana rifl…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,118,20
@mkvenu1 She secured an all India rank of 6 among ladies in the army medical exams She has truly made our nation pr… https://t.co/05kcbwXYgv,  she secured an all india rank of 6 among ladies in the army medical exams she has truly made our nation pr…  ,-0.4,0.45,positive,0.0,0.772,0.228,0.6808,111,22
"RT @manvendra__108: Mc Kode Aka Aditya Tiwari has used cuss Words on Hinduism as well as Indian Army
He is residing in Delhi right now
Afte…"," mc kode aka aditya tiwari has used cuss words on hinduism as well as indian army
he is residing in delhi right now
afte…",0.2857142857142857,0.5357142857142857,positive,0.0,0.916,0.084,0.2732,121,24
@nrajabpcla @raj2jas @neerangautam @SoniaGurnani19 @keeranl @JaganNKaushik @SortedEagle @KSMANN @GenPanwar… https://t.co/os6ClU55ve,                 …  ,0.0,0.0,neutral,0.0,0.0,0.0,0.0,20,1
"RT @iAsura_: Prime hurdles for an #AsianBlock :

• Indian media (entirely controlled by West)
• Pakistan Army (again entirely owned by West…"," prime hurdles for an #asianblock :

• indian media (entirely controlled by west)
• pakistan army (again entirely owned by west…",0.0,0.625,neutral,0.0,1.0,0.0,0.0,128,21
"RT @virendrajourno: @globaltimesnews Make no mistake, Chinese troops are no match to battle hardened and professional Indian Army. You have…","   make no mistake, chinese troops are no match to battle hardened and professional indian army. you have…",0.05,0.05,negative,0.42,0.58,0.0,-0.8126,106,17
@DrHarisUK @rainarajesh @TheKashmirPress @adgpi No one can beat the #Indian army in such heinous crimes. They could… https://t.co/jID8xUQZOM,        no one can beat the #indian army in such heinous crimes. they could…  ,0.0,0.5,negative,0.155,0.845,0.0,-0.296,78,13
"@nishantchat 
Nishant Ji, Pakistan ne drone se koi terrorist ke liye hathiar nahi giraye or na hi kisi civilian thi… https://t.co/hpZGwpNJaw","  
nishant ji, pakistan ne drone se koi terrorist ke liye hathiar nahi giraye or na hi kisi civilian thi…  ",0.0,0.0,negative,0.207,0.793,0.0,-0.6908,107,19
"@mkvenu1 Congrats 2 proud daughter of India defending Nation
Knee deep snow, assault rifle in hand, stethoscope aro… https://t.co/ZzH3WCMe4v","  congrats 2 proud daughter of india defending nation
knee deep snow, assault rifle in hand, stethoscope aro…  ",0.4,0.7,positive,0.149,0.471,0.38,0.7096,111,17
@MeghUpdates Coward Chinese are only trying to increase heavy expenditure of Modi government to prevent India from… https://t.co/m5nQyvgva1,  coward chinese are only trying to increase heavy expenditure of modi government to prevent india from…  ,-0.06666666666666667,0.5,positive,0.155,0.67,0.175,-0.1531,106,16
RT @tinybleudancer: Replug: Dad published a book that talks of his experiences of handling crisis from his time in the Indian Army and late…, replug: dad published a book that talks of his experiences of handling crisis from his time in the indian army and late…,0.0,0.0,negative,0.17,0.83,0.0,-0.6249,121,22
India says two drones intercepted over Kashmir army base - Al Jazeera English https://t.co/fpcY6GVHkw #indianews… https://t.co/doNYd3RuR6,india says two drones intercepted over kashmir army base - al jazeera english   #indianews…  ,-0.4,0.5,neutral,0.0,1.0,0.0,0.0,93,14
@IndiaToday @IndiaTodayFLASH How the fuck were these allowed to infiltrate Indian air space ? Army and Air Force as… https://t.co/GItwjBhORP,    how the fuck were these allowed to infiltrate indian air space ? army and air force as…  ,-0.4,0.6,negative,0.189,0.811,0.0,-0.5423,93,17
"RT @Shomes_quest: #LegendsinUniform
Today marks the 22nd death anniversary of #CaptainNeikezhakuoKenguruse.
He  was born on 15 July 1974 an…"," #legendsinuniform
today marks the 22nd death anniversary of #captainneikezhakuokenguruse.
he  was born on 15 july 1974 an…",0.0,0.0,negative,0.196,0.804,0.0,-0.5994,123,17
@frotuin @HesyRock @SpydEr19999 @shaziyaaM @FakharZamanLive Nhi Kia Indian Army itni beghairat hai ke apni flag ke… https://t.co/tRotQxHXi2,          nhi kia indian army itni beghairat hai ke apni flag ke…  ,0.0,0.0,negative,0.296,0.704,0.0,-0.6369,67,11
"@adgpi India's famed Counter Insurgency &amp; Jungle Warfare School, Vairengte, Mizoram, imparts specialised training t… https://t.co/6m3OxUw7b8","  india's famed counter insurgency &amp; jungle warfare school, vairengte, mizoram, imparts specialised training t…  ",0.0,0.0,negative,0.145,0.855,0.0,-0.296,117,14
"RT @TheKishtwar: The Indian Army fan, @AnupamPKher speaking about @adgpi.

@scribesoldier @Dilsekishtwar @imthewaseem @asthana_shashi @kaka…"," the indian army fan,   speaking about  .

       _shashi  …",0.0,0.0,positive,0.0,0.723,0.277,0.3182,60,9
RT @jtnladakh: Bharat Mata Ki Jai... Indian Army Zindabad... https://t.co/pMj19p7u9r, bharat mata ki jai... indian army zindabad...  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,48,7
@ShayanK81501760 @HesyRock @SpydEr19999 @shaziyaaM @FakharZamanLive Abe yaar wo indian army hai first picture mein… https://t.co/VZ8LFxtk8y,          abe yaar wo indian army hai first picture mein…  ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0,59,9
@HesyRock @ShayanK81501760 @SpydEr19999 @shaziyaaM @FakharZamanLive Abe yaar wo indian army hai first picture mein… https://t.co/Z7iEibIRoW,          abe yaar wo indian army hai first picture mein…  ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0,59,9
@frotuin @ShayanK81501760 @SpydEr19999 @shaziyaaM @FakharZamanLive Lol Son our Army were Fighting with our 1/10th S… https://t.co/BZJSAXBhNU,          lol son our army were fighting with our 1/10th s…  ,0.8,0.7,positive,0.188,0.602,0.211,0.0772,61,10
"@DustinErinHeck1 @CBSNews I mean, can you imagine the native americans joining  the US army way back when, in prote… https://t.co/C1zAj6UQ2m","    i mean, can you imagine the native americans joining  the us army way back when, in prote…  ",-0.15625,0.34375,neutral,0.0,1.0,0.0,0.0,96,17
"RT @hannan021: Suffering from Terrorism by People of Pakistan 

Mar-Dec 1947: 150 bomb explosions in cities of Pak Punjab

1947-48: 2 milli…"," suffering from terrorism by people of pakistan 

mar-dec 1947: 150 bomb explosions in cities of pak punjab

1947-48: 2 milli…",0.0,0.0,negative,0.405,0.595,0.0,-0.8979,126,20
"RT @SimpnilSoCool: #ShahRukhKhan wanted to join the Indian Army when he was a kid, started his career with the TV series Fauji &amp; it's the f…"," #shahrukhkhan wanted to join the indian army when he was a kid, started his career with the tv series fauji &amp; it's the f…",0.0,0.0,positive,0.0,0.909,0.091,0.296,126,24
@hourableteam1 @WIONews @rajnathsingh @JodieCohen613 Ask you PLA to fight Indian Army n let's see how Chinese get t… https://t.co/kKMXL3eKBW,        ask you pla to fight indian army n let's see how chinese get t…  ,0.0,0.0,negative,0.178,0.822,0.0,-0.3818,73,14
Indian army lover https://t.co/gPY3K5Vj7n,indian army lover  ,0.0,0.0,positive,0.0,0.345,0.655,0.5859,19,3
"@globaltimesnews Make no mistake, Chinese troops are no match to battle hardened and professional Indian Army. You… https://t.co/57iCxDvsKN","  make no mistake, chinese troops are no match to battle hardened and professional indian army. you…  ",0.05,0.05,negative,0.439,0.561,0.0,-0.8126,102,16
RT @ExposeAntiIndia: Indian jawans save old #Kashmiri Man from #Encounter site in #Srinagar. #Indian forces care for awam unlike #Pakistan…, indian jawans save old #kashmiri man from #encounter site in #srinagar. #indian forces care for awam unlike #pakistan…,0.1,0.2,positive,0.0,0.714,0.286,0.7506,119,18
DRONES HAVE BECOME THE TERROR FOR INDIAN ARMY.,drones have become the terror for indian army.,0.0,0.0,negative,0.327,0.673,0.0,-0.5267,46,8
RT @ashokgehlot51: My tributes to Padma Vibhushan Field Marshal Sam Manekshaw on his death anniversary. His role as Chief of the Army Staff…, my tributes to padma vibhushan field marshal sam manekshaw on his death anniversary. his role as chief of the army staff…,0.0,0.0,negative,0.163,0.837,0.0,-0.5994,122,21
RT @Nayakash1: Policemen and our Indian Army rescue civilians near the encounter site at Maloora outskirts of Srinagar we are Proud of our…, policemen and our indian army rescue civilians near the encounter site at maloora outskirts of srinagar we are proud of our…,0.45,0.7,positive,0.0,0.748,0.252,0.7506,125,21
"RT @KMPaul4: @globaltimesnews CHINA should make habit of talking less rubbish &amp; act more at LAC , 

WITHOUT fear of  INDIAN ARMY.

Also Enh…","   china should make habit of talking less rubbish &amp; act more at lac , 

without fear of  indian army.

also enh…",0.16666666666666669,0.2833333333333333,positive,0.0,0.878,0.122,0.3875,117,21
@Mrself_reliant @basiitzargar Yeah bro just like indian army, _reliant   yeah bro just like indian army,0.0,0.0,positive,0.0,0.515,0.485,0.5719,42,7
RT @SethupatiG: @jags56 @alokkum76384911 @amarprasadreddy But friend it is leader's responsibility to choose proper persons in his army . W…,       but friend it is leader's responsibility to choose proper persons in his army . w…,0.0,0.1,positive,0.0,0.751,0.249,0.6486,89,15
@jags56 @alokkum76384911 @amarprasadreddy But friend it is leader's responsibility to choose proper persons in his… https://t.co/e09bgUeyjx,      but friend it is leader's responsibility to choose proper persons in his…  ,0.0,0.1,positive,0.0,0.719,0.281,0.6486,81,12
@jairamthakurbjp @PrakashJavdekar @rsprasad @nsitharaman @KirronKherBJP @IDSAIndia @onthinktanks @ICWA_NewDelhi… https://t.co/Kp9NPx90h4,               _newdelhi…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,27,1
"RT @JSPVeeraMahila: Congratulations to the daughter of India Dr. Deepsikha Chettri, who is now a captain in the Indian Army and is the seco…"," congratulations to the daughter of india dr. deepsikha chettri, who is now a captain in the indian army and is the seco…",0.0,0.0,positive,0.0,0.837,0.163,0.5994,121,22
"@globaltimesnews CHINA should make habit of talking less rubbish &amp; act more at LAC , 

WITHOUT fear of  INDIAN ARMY… https://t.co/mvB2Q7T0h6","  china should make habit of talking less rubbish &amp; act more at lac , 

without fear of  indian army…  ",0.16666666666666669,0.2833333333333333,positive,0.0,0.866,0.134,0.3875,107,19
RT @Mukesh_dadri: If you Respect  indian Army like here https://t.co/FLoURYCziS, if you respect  indian army like here  ,0.0,0.0,positive,0.0,0.472,0.528,0.6808,40,7
"@kamranyousuf_ It is Militants+Indian Agencies+ Army +Pakistan 
Result bloodbath in Kashmir..."," _ it is militants+indian agencies+ army +pakistan 
result bloodbath in kashmir...",0.0,0.0,neutral,0.0,1.0,0.0,0.0,82,11
@_manisha_88 @narendramodi @OfficeofSSC @PMOIndia @AmitShah @rajnathsingh pta nhi kitne candidate overage ho jayeng… https://t.co/Bo0fuxumkc,@_manisha_88           pta nhi kitne candidate overage ho jayeng…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,67,8
"Gonda News: ???? ??? ????? ?? ???? ?? ?????? ??? ??????, DM ?? ????? ?????? #Gonda #indianarmy https://t.co/mRCmq7zYcT","gonda news: ???? ??? ????? ?? ???? ?? ?????? ??? ??????, dm ?? ????? ?????? #gonda #indianarmy  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,96,17
RT @BangtanINDIA: Remember NOW we contribute to both Indian IMI charts and international BB global charts. Streaming on All international p…, remember now we contribute to both indian imi charts and international bb global charts. streaming on all international p…,0.0,0.0,neutral,0.0,1.0,0.0,0.0,123,19
"@Ayushkkkk1 @amercianpatrio2 @syedmohdmurtaza Brother, do you believe, a weaponised drone could cross the internati… https://t.co/e1NoRWe1eN","      brother, do you believe, a weaponised drone could cross the internati…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,78,11
India’s defence Minister @rajnathsingh ji met soldiers of Indian Army in Ladakh earlier today. ?? https://t.co/GxT2F1PyPb,india’s defence minister   ji met soldiers of indian army in ladakh earlier today. ??  ,0.0,0.5,positive,0.0,0.903,0.097,0.1027,87,14
wow indian army is a coward who cant defeat defeat a small number of fighters lol https://t.co/lS8OrXgTtz,wow indian army is a coward who cant defeat defeat a small number of fighters lol  ,0.21666666666666667,0.6999999999999998,positive,0.175,0.291,0.534,0.8253,83,16
"#1 #Butter5thNo1OnHot100 
#6 #hobi 
#7 #joon 
#8 #BTSPavedTheWay 
#10 #Congratulationkings 
#11 #BTSWorldDomination… https://t.co/YgPpUWzHNM","#1 #butter5thno1onhot100 
#6 #hobi 
#7 #joon 
#8 #btspavedtheway 
#10 #congratulationkings 
#11 #btsworlddomination…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,118,12
RT @Ashok_19: @mrbcyber @detroitnews What the Chinese forgot in June and are making the same mistake again. The Indian Army has the best hi…,     what the chinese forgot in june and are making the same mistake again. the indian army has the best hi…,0.3333333333333333,0.14166666666666666,positive,0.098,0.732,0.171,0.4215,108,20
"RT @hallyutalk1: #DearOppa: An Indian #ARMY strives to attain perfection by getting inspired from #BTS’ #Jungkook

https://t.co/PQzrVenbpc…"," #dearoppa: an indian #army strives to attain perfection by getting inspired from #bts’ #jungkook

 ",0.0,0.0,positive,0.0,0.635,0.365,0.7845,100,14
@nitin1sharma @globaltimesnews I am all for the Indian Army to teach China a lesson and show the bravery of the Indian Army.,    i am all for the indian army to teach china a lesson and show the bravery of the indian army.,0.0,0.0,positive,0.0,0.842,0.158,0.4939,97,20
@globaltimesnews These crying babies are no match for the Indian army. https://t.co/2XV4wt8zKs,  these crying babies are no match for the indian army.  ,-0.2,0.6,negative,0.398,0.602,0.0,-0.6486,57,10
"@globaltimesnews 'Corona Global times ' plz be wait. ur pla
seeing our Indian Army Power ???????","  'corona global times ' plz be wait. ur pla
seeing our indian army power ???????",0.0,0.0,positive,0.0,0.909,0.091,0.0772,81,15
"@banasinghpvc No sir, we will still respect because we love Indian military. One time win or loose cannot defy year… https://t.co/qzBwvdoWYX","  no sir, we will still respect because we love indian military. one time win or loose cannot defy year…  ",0.2807692307692308,0.3423076923076923,positive,0.152,0.473,0.375,0.8225,106,19
RT @beingmessenger: Indian jawans save old #Kashmiri Man from #Encounter site in #Srinagar. #Indian forces care for awam unlike #Pakistan s…, indian jawans save old #kashmiri man from #encounter site in #srinagar. #indian forces care for awam unlike #pakistan s…,0.1,0.2,positive,0.0,0.726,0.274,0.7506,121,19
"@certikorg @ShytoshiKusama @certik_io @Shibtoken Hi shytoshikumama
I am Indian ??
My first investment in cryptocurr… https://t.co/xsUvk4gfkp","     _io   hi shytoshikumama
i am indian ??
my first investment in cryptocurr…  ",0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0,80,12
Indian jawans save old #Kashmiri Man from #Encounter site in #Srinagar. #Indian forces care for awam unlike… https://t.co/BKMKuAGOR7,indian jawans save old #kashmiri man from #encounter site in #srinagar. #indian forces care for awam unlike…  ,0.1,0.2,positive,0.0,0.701,0.299,0.7506,110,17
"@globaltimesnews It is not Indian army, Indian people are enough to punish the bad rats! Chinese virus.","  it is not indian army, indian people are enough to punish the bad rats! chinese virus.",-0.2916666666666666,0.38888888888888884,negative,0.339,0.661,0.0,-0.8016,88,16
Have the Tartan Army taken the indian variant back up north? #COVIDIOTS,have the tartan army taken the indian variant back up north? #covidiots,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12
@BTS_twt Oohhh yeahhh indian bts army ??, _twt oohhh yeahhh indian bts army ??,0.0,0.0,neutral,0.0,1.0,0.0,0.0,37,7
"@hourableteam1 @WIONews @rajnathsingh @JodieCohen613 Come let's test that, let's see what India is capable of. Chin… https://t.co/LNVVnirikn","        come let's test that, let's see what india is capable of. chin…  ",0.2,0.4,positive,0.0,0.809,0.191,0.3818,73,12
"RT @TheTeamModi: Muslims never votes for BJP and they never will
Modiji gave laptops in their hand, now they are learning ""how to create IE…"," muslims never votes for bjp and they never will
modiji gave laptops in their hand, now they are learning ""how to create ie…",0.0,0.0,positive,0.0,0.798,0.202,0.6486,124,23
"Muslims never votes for BJP and they never will
Modiji gave laptops in their hand, now they are learning ""how to cr… https://t.co/FWCTxWFZPu","muslims never votes for bjp and they never will
modiji gave laptops in their hand, now they are learning ""how to cr…  ",0.0,0.0,positive,0.0,0.868,0.132,0.4939,118,22
@Angel_X_Army @all4skj U an indian?, _x_army   u an indian?,0.0,0.0,neutral,0.0,1.0,0.0,0.0,23,4
